company_id,metric_type,period_years,value_pct,revenue_cagr_5yr,pat_cagr_5yr,return_on_equity_pct,divergence_pct,manual_review
HDFCBANK,compounded_sales_growth,10,21.0,21.95098428169122,23.865063572879073,14.33974005030719,0.9509842816912197,False
HDFCBANK,compounded_profit_growth,10,22.0,21.95098428169122,23.865063572879073,14.33974005030719,1.8650635728790732,False
HDFCBANK,stock_price_cagr,10,15.0,21.95098428169122,23.865063572879073,14.33974005030719,,False
HDFCBANK,roe,10,17.0,21.95098428169122,23.865063572879073,14.33974005030719,2.6602599496928097,False
SBILIFE,compounded_sales_growth,5,24.0,24.231614182367544,7.374662152227485,12.704588140595655,0.23161418236754372,False
SBILIFE,compounded_profit_growth,5,6.0,24.231614182367544,7.374662152227485,12.704588140595655,1.3746621522274847,False
SBILIFE,stock_price_cagr,5,8.0,24.231614182367544,7.374662152227485,12.704588140595655,,False
SBILIFE,roe,5,14.0,24.231614182367544,7.374662152227485,12.704588140595655,1.2954118594043447,False
SBILIFE,compounded_sales_growth,3,17.0,24.231614182367544,7.374662152227485,12.704588140595655,7.231614182367544,True
SBILIFE,compounded_profit_growth,3,9.0,24.231614182367544,7.374662152227485,12.704588140595655,1.6253378477725153,False
SBILIFE,stock_price_cagr,3,7.0,24.231614182367544,7.374662152227485,12.704588140595655,,False
SBILIFE,roe,3,13.0,24.231614182367544,7.374662152227485,12.704588140595655,0.29541185940434467,False
SBILIFE,stock_price_cagr,1,-2.0,24.231614182367544,7.374662152227485,12.704588140595655,,False
TCS,compounded_sales_growth,10,11.0,10.463614801716602,7.871172131953608,50.944313673485176,0.5363851982833978,False
TCS,compounded_profit_growth,10,9.0,10.463614801716602,7.871172131953608,50.944313673485176,1.1288278680463923,False
TCS,stock_price_cagr,10,14.0,10.463614801716602,7.871172131953608,50.944313673485176,,False
TCS,roe,10,40.0,10.463614801716602,7.871172131953608,50.944313673485176,10.944313673485176,True
TCS,compounded_sales_growth,5,10.0,10.463614801716602,7.871172131953608,50.944313673485176,0.4636148017166022,False
TCS,compounded_profit_growth,5,8.0,10.463614801716602,7.871172131953608,50.944313673485176,0.12882786804639235,False
TCS,stock_price_cagr,5,16.0,10.463614801716602,7.871172131953608,50.944313673485176,,False
TCS,roe,5,44.0,10.463614801716602,7.871172131953608,50.944313673485176,6.944313673485176,True
TCS,compounded_sales_growth,3,14.0,10.463614801716602,7.871172131953608,50.944313673485176,3.536385198283398,False
TCS,compounded_profit_growth,3,12.0,10.463614801716602,7.871172131953608,50.944313673485176,4.128827868046392,False
TCS,stock_price_cagr,3,8.0,10.463614801716602,7.871172131953608,50.944313673485176,,False
TCS,roe,3,47.0,10.463614801716602,7.871172131953608,50.944313673485176,3.9443136734851763,False
TCS,stock_price_cagr,1,16.0,10.463614801716602,7.871172131953608,50.944313673485176,,False
WIPRO,compounded_sales_growth,10,8.0,,,,,False
WIPRO,compounded_profit_growth,10,3.0,,,,,False
WIPRO,stock_price_cagr,10,12.0,,,,,False
WIPRO,roe,10,18.0,,,,,False
WIPRO,compounded_sales_growth,5,9.0,,,,,False
WIPRO,compounded_profit_growth,5,4.0,,,,,False
WIPRO,stock_price_cagr,5,20.0,,,,,False
WIPRO,roe,5,17.0,,,,,False
WIPRO,compounded_sales_growth,3,13.0,,,,,False
WIPRO,compounded_profit_growth,3,0.0,,,,,False
WIPRO,stock_price_cagr,3,-1.0,,,,,False
WIPRO,roe,3,17.0,,,,,False
HDFCBANK,compounded_sales_growth,5,22.0,21.95098428169122,23.865063572879073,14.33974005030719,0.049015718308780265,False
HDFCBANK,compounded_profit_growth,5,23.0,21.95098428169122,23.865063572879073,14.33974005030719,0.8650635728790732,False
HDFCBANK,stock_price_cagr,5,8.0,21.95098428169122,23.865063572879073,14.33974005030719,,False
HDFCBANK,roe,5,17.0,21.95098428169122,23.865063572879073,14.33974005030719,2.6602599496928097,False
WIPRO,stock_price_cagr,1,39.0,,,,,False
HDFCBANK,compounded_sales_growth,3,30.0,21.95098428169122,23.865063572879073,14.33974005030719,8.04901571830878,True
HDFCBANK,compounded_profit_growth,3,26.0,21.95098428169122,23.865063572879073,14.33974005030719,2.134936427120927,False
HDFCBANK,stock_price_cagr,3,8.0,21.95098428169122,23.865063572879073,14.33974005030719,,False
HDFCBANK,roe,3,17.0,21.95098428169122,23.865063572879073,14.33974005030719,2.6602599496928097,False
HDFCBANK,stock_price_cagr,1,13.0,21.95098428169122,23.865063572879073,14.33974005030719,,False
INFY,compounded_sales_growth,10,12.0,13.199100930556229,11.239419983657939,29.788006718416632,1.199100930556229,False
INFY,compounded_profit_growth,10,9.0,13.199100930556229,11.239419983657939,29.788006718416632,2.239419983657939,False
INFY,stock_price_cagr,10,15.0,13.199100930556229,11.239419983657939,29.788006718416632,,False
INFY,roe,10,27.0,13.199100930556229,11.239419983657939,29.788006718416632,2.788006718416632,False
INFY,compounded_sales_growth,5,13.0,13.199100930556229,11.239419983657939,29.788006718416632,0.19910093055622902,False
INFY,compounded_profit_growth,5,11.0,13.199100930556229,11.239419983657939,29.788006718416632,0.23941998365793893,False
INFY,stock_price_cagr,5,22.0,13.199100930556229,11.239419983657939,29.788006718416632,,False
INFY,roe,5,29.0,13.199100930556229,11.239419983657939,29.788006718416632,0.7880067184166322,False
INFY,compounded_sales_growth,3,5.0,13.199100930556229,11.239419983657939,29.788006718416632,8.199100930556229,True
INFY,compounded_profit_growth,3,10.0,13.199100930556229,11.239419983657939,29.788006718416632,1.239419983657939,False
INFY,stock_price_cagr,3,4.0,13.199100930556229,11.239419983657939,29.788006718416632,,False
INFY,roe,3,31.0,13.199100930556229,11.239419983657939,29.788006718416632,1.2119932815833678,False
INFY,stock_price_cagr,1,27.0,13.199100930556229,11.239419983657939,29.788006718416632,,False
SBILIFE,compounded_sales_growth,10,23.0,24.231614182367544,7.374662152227485,12.704588140595655,1.2316141823675437,False
SBILIFE,compounded_profit_growth,10,9.0,24.231614182367544,7.374662152227485,12.704588140595655,1.6253378477725153,False
SBILIFE,stock_price_cagr,10,9.0,24.231614182367544,7.374662152227485,12.704588140595655,,False
SBILIFE,roe,10,16.0,24.231614182367544,7.374662152227485,12.704588140595655,3.2954118594043447,False
