metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.38715581193502,11.61007489414794,15.797288098044476,25.92799708071795,47.9660500559221,122.62768808327812,633.750744966276
return_on_capital_employed_pct,3.4859018926226346,10.429638060878984,18.905165620757423,33.26951336265526,118.20777590429657,180.63863252696808,781.6951456116127
return_on_assets_pct,1.111176617295312,2.3995371456320886,6.207260462890552,13.528835137631038,22.416590086076788,61.031278199847186,316.1118820677871
debt_to_equity,0.00900223105577812,0.06143770734982861,0.4357953051600383,1.6443674689391654,6.580315941867813,1.7874114799613603,3.076907922767068
pe_ratio,15.565,29.8275,45.754999999999995,59.53,70.09900000000002,43.80822222222222,20.210411410663188
pb_ratio,3.1640000000000006,4.5075,7.665,10.12,12.402000000000003,7.559111111111113,3.6368997305998083
operating_profit_margin_pct,9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612,34.79991991811501,27.254591291247692
net_profit_margin_pct,4.619194610984474,7.24774515132234,14.021605915440949,20.34900889030226,29.24548245324143,19.93832104128724,45.194824367393075
revenue_cagr_5yr,5.838805854237616,8.440832121892061,11.836370175898114,17.183239296281414,21.16813430936688,12.97836752078014,7.423848118291354
free_cash_flow,-14435.1,-1290.0,1123.5,8348.5,20412.2,918.4565217391304,23129.885590673577
